RA[deg] Ê Ê Ê,Dec[deg] Ê
203.024,16.76
75.024,-13.371
97.501,11.29
305.857,-33.932
143.516,-38.279
310.767,-25.374
147.017,-22.059
115.22,-2.685
236.214,-43.87
343.547,17.572
263.345,19.803
262.551,-42.079
96.531,71.651
97.162,11.874
175.864,-11.793
162.868,-59.174
302.192,-20.351
316.322,-18.148
175.449,56.738
259.653,-27
115.19,-17.357
247.86,-35.157
314.87,14.609
271.769,-40.459
104.567,-16.135
136.83,-71.524
164.956,2.608
141.193,-54.837
309.528,-18.777
305.495,-52.5
26.638,-59.747
325.688,-20.393
272.108,-22.049
34.408,17.584
108.043,-58.154
255.277,40.364
108.805,-56.337
116.699,29.438
236.494,2.329
225.653,-85.865
185.863,3.365
50.95,28.871
181.488,14.215
186.642,0.833
248.336,-63.868
38.859,25.585
50.017,12.658
89.743,-43.868
0.348,3.637
59.879,-3.885
244.161,39.255
84.882,26.695
213.502,-0.705
316.088,17.256
285.111,-32.594
275.917,32.095
310.264,-10.201
238.525,15.164
94.936,54.621
34.913,13.677
87.131,-2.075
196.081,-31.453
192.953,13.893
183.327,-2.412
238.372,18.537
243.254,-4.155
7.242,16.387
301.347,-69.508
21.025,11.056
284.94,19.548
55.302,59.081
11.634,-10.409
329.392,22.325
236.845,-37.809
229.678,-4.025
196.574,-18.234
254.167,-7.915
298.38,-69.448
178.932,0.454
261.219,-33.475
88.886,-21.086
276.364,8.41
112.321,19.916
144.973,5.658
99.817,-68.857
251.498,-20.676
350.5,-61.049
1.411,-1.303
198.424,1.466
350.995,-1.588
167.641,-3.204
339.927,-21.697
57.131,40.149
225.327,-0.988
246.284,-43.33
72.112,22.187
142.274,-39.788
88.618,71.862
279.929,8.359
244.022,-37.591
139.643,-46.793
145.08,-12.729
279.597,-37.822
37.369,56.626
6.196,22.142
239.158,-2.011
7.913,-19.985
215.78,-46.274
225.328,-82.309
209.113,6.712
161.747,80.239
137.731,1.949
93.55,5.726
5.546,3.59
232.392,10.774
108.32,23.929
224.825,-5.647
206.213,-33.72
29.919,-18.508
101.417,14.281
148.32,2.68
243.553,-5.243
0.197,-44.929
307.661,9.674
309.58,-13.753
183.655,26.585
308.801,-28.763
221.964,-8.415
329.899,-3.251
96.179,-54.874
183.024,-79.492
231.58,-18.296
13.314,16.363
48.189,29.227
172.616,-4.526
171.136,-44.381
203.399,-6.802
358.051,-54.21
313.583,-32.747
273.337,63.783
271.002,41.274
171.672,-20.845
122.432,3.163
65.711,-44.095
322.671,61.288
8.386,34.091
348.733,-53.597
13.172,36.055
158.427,-9.925
354.877,-23.157
171.657,-15.173
342.047,0.938
23.683,-54.848
329.045,54.443
324.787,23.164
152.734,10.549
217.232,-76.044
203.726,17.271
194.054,-67.06
216.067,18.758
8.124,-56.646
49,-37.92
229.182,-3.218
254.278,-44.372
75.998,78.903
61.186,27.219
46.204,-9.001
73.365,-10.438
270.695,11.872
47.974,-36.961
121.893,-68.373
116.758,0.635
111.305,-40.025
207.313,-50.292
126.404,-53.192
281.284,9.142
127.201,26.281
71.471,35.179
62.279,26.899
220.242,-19.407
215.673,40.477
83.741,70.976
99.101,-47.233
246.997,-56.235
37.528,-22.855
336.374,2.85
162.468,42.499
170.894,6.675
124.749,44.488
305.898,32.167
61.624,-8.825
62.336,-28.107
161.011,-60.77
219.304,-50.774
96.665,-26.628
18.573,45.092
168.653,13.899
129.631,-64.879
257.156,-60.554
346.333,9.896
328.239,-45.324
94.554,-33.774
40.311,-44.217
83.737,-39.727
221.659,45.557
154.29,42.6
172.601,3.422
209.15,-42.688
335.16,5.052
186.833,14.018
142.394,-8.695
61.343,-7.426
71.344,-13.341
19.504,70.818
312.11,-9.844
220.422,-39.143
175.06,-71.356
42.554,36.609
52.601,-7.108
145.301,-40.838
15.138,-55.317
322.528,-27.415
117.067,7.429
82.995,10.985
117.779,41.682
